term,model,data,true_value,median_mean,median_sd,sd_mean,nsim
kappa,no-meas-error,likereal,5,8.645706683376625,4.438050983519433,3.985162225989321,1000
kappa,no-meas-error,meas-error,5,6.2370066916952815,0.2673295143299999,0.2490475080549924,600
kappa,no-meas-error,meas-error-neg,5,6.243915238441762,0.2781109447528534,0.24945685098447984,1000
kappa,no-meas-error,no-meas-error,5,5.043538385894645,0.19805848559048686,0.1991473619891904,1000
relative_fitness,alex-modified,likereal,1,0.9890149388650149,0.40159885931846906,0.2700452952220525,1000
relative_fitness,alex-modified,meas-error,1,1.0125654441810312,0.032211026240259594,0.023681104978304925,50
relative_fitness,alex-modified,no-meas-error,1,1.0220003394737787,0.041075664615842555,0.05518700530787109,196
relative_fitness,no-meas-error,likereal,1,0.9578421502853803,0.3702044642716899,0.3156199569399622,1000
relative_fitness,no-meas-error,meas-error,1,0.9256615719258546,0.03021222269892549,0.028236627131487103,600
relative_fitness,no-meas-error,meas-error-neg,-1,-0.927578969630487,0.03224676681951145,0.02820789442896606,1000
relative_fitness,no-meas-error,no-meas-error,1,1.00171214707087,0.0285611920052262,0.02947136611497501,1000
